Name,Price,Normal Price,Link
"Lenovo IdeaPad Slim 3 13th Gen Core i3-1305U (8GB RAM/512GB SSD/Integrated Intel UHD Graphics/14 (35.5cm)/Windows 11/ MS Office 2021/Grey/1.3Kg), 82X6004GIN Thin & Light Laptop",,,https:amazon.in//Lenovo-i3-1305U-Integrated-Graphics-82X6004GIN/dp/B0DKG94BTN/ref=sr_1_235?dib=eyJ2IjoiMSJ9._YvxlaS5kZa08C1zXjOWHGstKcKb6O00AEnTcPyS9BF0T6TfVibFXy_9JkoCBMDlXlozLtu8XMXZIRtt5032IIUSDEG0TCLy2itWA6sYbK-_MP623wenbJmiOkJ-GZBZNhu0oRM_IKU3oekhQqw8PFIq74Mbh1jf-7AxwvdJ3BCCWBJ54QcG0HSwcv5jKGTtcjyXr5ZpmkqVY8yJ64PmNDi9uYEXik1BaFyvUXnSixp2QyqW8PfpprE4qK2LQUbMIrJfoRmchAwUyvSnw_B3Wg6--cvJydz11FUV9GJYQ5Bhshq7I1wSQQMOcpHk6VwaOnKpLPjkFpnR-dEm1Zd0aCpmc6D7695aNvy92WlaE88.I5aETAWyrzTcqJSZuFutLHcL-EI0XGPO4cb6Vjvt_e0&dib_tag=se&keywords=laptops&qid=1736962360&s=computers&sr=1-235&xpid=9x5mw5HGXik4p
"(Refurbished) Lenovo ThinkPad T470 7th Gen Intel Core i5 Thin & Light HD Laptop (8 GB DDR4 RAM|256 GB SSD|14"" (35.6 cm) HD|Windows 11|WiFi|Bluetooth|Webcam|Intel HD Graphics)","14,999","₹1,00,000",https:amazon.in//Refurbished-Lenovo-ThinkPad-T470-Bluetooth/dp/B0DHLWB5Q9/ref=sr_1_218?dib=eyJ2IjoiMSJ9._YvxlaS5kZa08C1zXjOWHGstKcKb6O00AEnTcPyS9BF0T6TfVibFXy_9JkoCBMDlXlozLtu8XMXZIRtt5032IIUSDEG0TCLy2itWA6sYbK-_MP623wenbJmiOkJ-GZBZNhu0oRM_IKU3oekhQqw8PFIq74Mbh1jf-7AxwvdJ3BCCWBJ54QcG0HSwcv5jKGTtcjyXr5ZpmkqVY8yJ64PmNDi9uYEXik1BaFyvUXnSixp2QyqW8PfpprE4qK2LQUbMIrJfoRmchAwUyvSnw_B3Wg6--cvJydz11FUV9GJYQ5Bhshq7I1wSQQMOcpHk6VwaOnKpLPjkFpnR-dEm1Zd0aCpmc6D7695aNvy92WlaE88.I5aETAWyrzTcqJSZuFutLHcL-EI0XGPO4cb6Vjvt_e0&dib_tag=se&keywords=laptops&qid=1736962360&s=computers&sr=1-218&xpid=9x5mw5HGXik4p
"Acer Aspire 3 Intel Core i5-1235U Processor Laptop with 35.56 cm(14"") FHD LED-Backlit IPS Display (16GB RAM/1TB SSD/WiFi 6/Intel Graphics/Win11Home) A324-51, Backlit Keyboard, Steel Gray, 1.45KG","46,990","₹63,990",https:amazon.in//Acer-Processor-LED-Backlit-Win11Home-A324-51/dp/B0DB5X7V65/ref=sr_1_236?dib=eyJ2IjoiMSJ9._YvxlaS5kZa08C1zXjOWHGstKcKb6O00AEnTcPyS9BF0T6TfVibFXy_9JkoCBMDlXlozLtu8XMXZIRtt5032IIUSDEG0TCLy2itWA6sYbK-_MP623wenbJmiOkJ-GZBZNhu0oRM_IKU3oekhQqw8PFIq74Mbh1jf-7AxwvdJ3BCCWBJ54QcG0HSwcv5jKGTtcjyXr5ZpmkqVY8yJ64PmNDi9uYEXik1BaFyvUXnSixp2QyqW8PfpprE4qK2LQUbMIrJfoRmchAwUyvSnw_B3Wg6--cvJydz11FUV9GJYQ5Bhshq7I1wSQQMOcpHk6VwaOnKpLPjkFpnR-dEm1Zd0aCpmc6D7695aNvy92WlaE88.I5aETAWyrzTcqJSZuFutLHcL-EI0XGPO4cb6Vjvt_e0&dib_tag=se&keywords=laptops&qid=1736962360&s=computers&sr=1-236&xpid=9x5mw5HGXik4p
"HP OMEN, 14th Gen Intel Core i7-14650HX, 8GB NVIDIA RTX 4060, 16GB DDR5, 1TB SSD, (Win11, Office21, Black, 2.39kg), 144Hz, IPS, 16.1-inch(40.9cm) Gaming Laptop, Tempest Cooling, Backlit KB, wf1096TX","1,23,999","₹1,57,945",https:amazon.in//HP-I7-14650Hx-16-1-Inch-Wf1096Tx-Wf1102Tx/dp/B0D1YL72Y6/ref=sr_1_237?dib=eyJ2IjoiMSJ9._YvxlaS5kZa08C1zXjOWHGstKcKb6O00AEnTcPyS9BF0T6TfVibFXy_9JkoCBMDlXlozLtu8XMXZIRtt5032IIUSDEG0TCLy2itWA6sYbK-_MP623wenbJmiOkJ-GZBZNhu0oRM_IKU3oekhQqw8PFIq74Mbh1jf-7AxwvdJ3BCCWBJ54QcG0HSwcv5jKGTtcjyXr5ZpmkqVY8yJ64PmNDi9uYEXik1BaFyvUXnSixp2QyqW8PfpprE4qK2LQUbMIrJfoRmchAwUyvSnw_B3Wg6--cvJydz11FUV9GJYQ5Bhshq7I1wSQQMOcpHk6VwaOnKpLPjkFpnR-dEm1Zd0aCpmc6D7695aNvy92WlaE88.I5aETAWyrzTcqJSZuFutLHcL-EI0XGPO4cb6Vjvt_e0&dib_tag=se&keywords=laptops&qid=1736962360&s=computers&sr=1-237&xpid=9x5mw5HGXik4p
"MSI Katana 17, Intel 13th Gen. i7-13620H, 44CM FHD 144Hz Gaming Laptop (16GB/512GB NVMe SSD/Windows 11 Home/Nvidia GeForce RTX3050, 6GB GDDR6/Black/2.6Kg), B13UDXK-255IN","76,590","₹1,23,990",https:amazon.in//MSI-i7-13620H-Windows-GeForce-B13UDXK-255IN/dp/B0BTW1RCWZ/ref=sr_1_238?dib=eyJ2IjoiMSJ9._YvxlaS5kZa08C1zXjOWHGstKcKb6O00AEnTcPyS9BF0T6TfVibFXy_9JkoCBMDlXlozLtu8XMXZIRtt5032IIUSDEG0TCLy2itWA6sYbK-_MP623wenbJmiOkJ-GZBZNhu0oRM_IKU3oekhQqw8PFIq74Mbh1jf-7AxwvdJ3BCCWBJ54QcG0HSwcv5jKGTtcjyXr5ZpmkqVY8yJ64PmNDi9uYEXik1BaFyvUXnSixp2QyqW8PfpprE4qK2LQUbMIrJfoRmchAwUyvSnw_B3Wg6--cvJydz11FUV9GJYQ5Bhshq7I1wSQQMOcpHk6VwaOnKpLPjkFpnR-dEm1Zd0aCpmc6D7695aNvy92WlaE88.I5aETAWyrzTcqJSZuFutLHcL-EI0XGPO4cb6Vjvt_e0&dib_tag=se&keywords=laptops&qid=1736962360&s=computers&sr=1-238&xpid=9x5mw5HGXik4p
(Refurbished) HP 14s 10th Gen Intel Core i5 Thin & Light HD Laptop (16 GB DDR4 RAM/512 GB SSD/14 (35.6 cm) HD/Windows 11/MS Office/WiFi/Webcam/Intel UHD Graphics),"26,999","₹89,999",https:amazon.in//Refurbished-HP-Laptop-Windows-Graphics/dp/B0DMZXHRNW/ref=sr_1_239?dib=eyJ2IjoiMSJ9._YvxlaS5kZa08C1zXjOWHGstKcKb6O00AEnTcPyS9BF0T6TfVibFXy_9JkoCBMDlXlozLtu8XMXZIRtt5032IIUSDEG0TCLy2itWA6sYbK-_MP623wenbJmiOkJ-GZBZNhu0oRM_IKU3oekhQqw8PFIq74Mbh1jf-7AxwvdJ3BCCWBJ54QcG0HSwcv5jKGTtcjyXr5ZpmkqVY8yJ64PmNDi9uYEXik1BaFyvUXnSixp2QyqW8PfpprE4qK2LQUbMIrJfoRmchAwUyvSnw_B3Wg6--cvJydz11FUV9GJYQ5Bhshq7I1wSQQMOcpHk6VwaOnKpLPjkFpnR-dEm1Zd0aCpmc6D7695aNvy92WlaE88.I5aETAWyrzTcqJSZuFutLHcL-EI0XGPO4cb6Vjvt_e0&dib_tag=se&keywords=laptops&qid=1736962360&s=computers&sr=1-239&xpid=9x5mw5HGXik4p
"ASUS Vivobook S 14 OLED, 3K OLED 16:10, 120Hz 400 nits, AMD Ryzen AI 9 HX 370 Processor 2.0GHz, Built-in AI (24GB RAM/512GB SSD/Windows 11/Office 2021/Neutral Black/1.3 Kg), M5406WA-PP961WS","1,04,990","₹1,52,990",https:amazon.in//ASUS-Vivobook-OLED-Built-M5406WA-PP961WS/dp/B0DBLRN8R6/ref=sr_1_240?dib=eyJ2IjoiMSJ9._YvxlaS5kZa08C1zXjOWHGstKcKb6O00AEnTcPyS9BF0T6TfVibFXy_9JkoCBMDlXlozLtu8XMXZIRtt5032IIUSDEG0TCLy2itWA6sYbK-_MP623wenbJmiOkJ-GZBZNhu0oRM_IKU3oekhQqw8PFIq74Mbh1jf-7AxwvdJ3BCCWBJ54QcG0HSwcv5jKGTtcjyXr5ZpmkqVY8yJ64PmNDi9uYEXik1BaFyvUXnSixp2QyqW8PfpprE4qK2LQUbMIrJfoRmchAwUyvSnw_B3Wg6--cvJydz11FUV9GJYQ5Bhshq7I1wSQQMOcpHk6VwaOnKpLPjkFpnR-dEm1Zd0aCpmc6D7695aNvy92WlaE88.I5aETAWyrzTcqJSZuFutLHcL-EI0XGPO4cb6Vjvt_e0&dib_tag=se&keywords=laptops&qid=1736962360&s=computers&sr=1-240&xpid=9x5mw5HGXik4p
"Acer ALG Gaming Laptop 13th Gen Intel Core i7 Processor (16GB DDR4/512GB SSD/6GB RTX3050 Graphics/144Hz/Win11Home/Wifi 6) AL15G-53, 39.62cm (15.6"") FHD Display, Premium Metal Body, Steel Gray, 1.99KG","72,990","₹99,990",https:amazon.in//Acer-Processor-Graphics-Win11Home-AL15G-53/dp/B0DFHFCS4Y/ref=sr_1_219?dib=eyJ2IjoiMSJ9._YvxlaS5kZa08C1zXjOWHGstKcKb6O00AEnTcPyS9BF0T6TfVibFXy_9JkoCBMDlXlozLtu8XMXZIRtt5032IIUSDEG0TCLy2itWA6sYbK-_MP623wenbJmiOkJ-GZBZNhu0oRM_IKU3oekhQqw8PFIq74Mbh1jf-7AxwvdJ3BCCWBJ54QcG0HSwcv5jKGTtcjyXr5ZpmkqVY8yJ64PmNDi9uYEXik1BaFyvUXnSixp2QyqW8PfpprE4qK2LQUbMIrJfoRmchAwUyvSnw_B3Wg6--cvJydz11FUV9GJYQ5Bhshq7I1wSQQMOcpHk6VwaOnKpLPjkFpnR-dEm1Zd0aCpmc6D7695aNvy92WlaE88.I5aETAWyrzTcqJSZuFutLHcL-EI0XGPO4cb6Vjvt_e0&dib_tag=se&keywords=laptops&qid=1736962360&s=computers&sr=1-219&xpid=9x5mw5HGXik4p
"ASUS Vivobook 15, Intel Core i5-1235U 12th Gen, 15.6"" (39.62 cm) FHD, Thin and Light Laptop (8GB RAM/512GB SSD/Win11//Backlit Keyboard/Silver/1.7 kg), X1504ZA-NJ522WS","41,990","₹69,990",https:amazon.in//ASUS-Vivobook-i5-1235U-Keyboard-X1504ZA-NJ522WS/dp/B0CZ3F72MV/ref=sr_1_220?dib=eyJ2IjoiMSJ9._YvxlaS5kZa08C1zXjOWHGstKcKb6O00AEnTcPyS9BF0T6TfVibFXy_9JkoCBMDlXlozLtu8XMXZIRtt5032IIUSDEG0TCLy2itWA6sYbK-_MP623wenbJmiOkJ-GZBZNhu0oRM_IKU3oekhQqw8PFIq74Mbh1jf-7AxwvdJ3BCCWBJ54QcG0HSwcv5jKGTtcjyXr5ZpmkqVY8yJ64PmNDi9uYEXik1BaFyvUXnSixp2QyqW8PfpprE4qK2LQUbMIrJfoRmchAwUyvSnw_B3Wg6--cvJydz11FUV9GJYQ5Bhshq7I1wSQQMOcpHk6VwaOnKpLPjkFpnR-dEm1Zd0aCpmc6D7695aNvy92WlaE88.I5aETAWyrzTcqJSZuFutLHcL-EI0XGPO4cb6Vjvt_e0&dib_tag=se&keywords=laptops&qid=1736962360&s=computers&sr=1-220&xpid=9x5mw5HGXik4p
"HP Envy x360, 12Gen Intel Core i5-1230U, 16GB DDR4, 512GB SSD, 13.3-inch (33.8cm), Touch, IPS, Micro-edge, WUXGA Laptop, Intel Iris Xe graphics, Backlit KB (Win 11, Office 21, Silver, 1.34kg) bf0121TU","82,899","₹99,148",https:amazon.in//HP-13-3inch-Corning-Graphics-13-bf0121TU/dp/B0BS3X1ZBX/ref=sr_1_221?dib=eyJ2IjoiMSJ9._YvxlaS5kZa08C1zXjOWHGstKcKb6O00AEnTcPyS9BF0T6TfVibFXy_9JkoCBMDlXlozLtu8XMXZIRtt5032IIUSDEG0TCLy2itWA6sYbK-_MP623wenbJmiOkJ-GZBZNhu0oRM_IKU3oekhQqw8PFIq74Mbh1jf-7AxwvdJ3BCCWBJ54QcG0HSwcv5jKGTtcjyXr5ZpmkqVY8yJ64PmNDi9uYEXik1BaFyvUXnSixp2QyqW8PfpprE4qK2LQUbMIrJfoRmchAwUyvSnw_B3Wg6--cvJydz11FUV9GJYQ5Bhshq7I1wSQQMOcpHk6VwaOnKpLPjkFpnR-dEm1Zd0aCpmc6D7695aNvy92WlaE88.I5aETAWyrzTcqJSZuFutLHcL-EI0XGPO4cb6Vjvt_e0&dib_tag=se&keywords=laptops&qid=1736962360&s=computers&sr=1-221&xpid=9x5mw5HGXik4p
